Timecode List:,00:00:01.200,00:00:02.033,00:00:03.900,00:00:04.567,00:00:06.467,00:00:07.467,00:00:08.167,00:00:09.000,00:00:12.700,00:00:14.433,00:00:17.533,00:00:18.567,00:00:19.200,00:00:19.833,00:00:22.000,00:00:27.900,00:00:31.467,00:00:32.833,00:00:33.900,00:00:35.167,00:00:36.867,00:00:38.100,00:00:42.600,00:00:44.200,00:00:45.767,00:00:46.833,00:00:48.167,00:00:49.333,00:00:50.333,00:00:52.633,00:00:53.833,00:00:54.433,00:00:56.700,00:01:00.167,00:01:03.033,00:01:05.033,00:01:05.833,00:01:06.567,00:01:08.233,00:01:10.367,00:01:12.000,00:01:13.267,00:01:15.867,00:01:16.567,00:01:17.600,00:01:19.700,00:01:23.900,00:01:25.067,00:01:26.600,00:01:28.767,00:01:30.900,00:01:32.367,00:01:33.867,00:01:34.467,00:01:35.267
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,36,00:00:01.200,1.200,36,00:00:01.200,1.200
2,37,00:00:01.200,1.200,61,00:00:02.033,2.033,25,00:00:00.833,0.833
3,62,00:00:02.033,2.033,117,00:00:03.900,3.900,56,00:00:01.867,1.867
4,118,00:00:03.900,3.900,137,00:00:04.567,4.567,20,00:00:00.667,0.667
5,138,00:00:04.567,4.567,194,00:00:06.467,6.467,57,00:00:01.900,1.900
6,195,00:00:06.467,6.467,224,00:00:07.467,7.467,30,00:00:01.000,1.000
7,225,00:00:07.467,7.467,245,00:00:08.167,8.167,21,00:00:00.700,0.700
8,246,00:00:08.167,8.167,270,00:00:09.000,9.000,25,00:00:00.833,0.833
9,271,00:00:09.000,9.000,381,00:00:12.700,12.700,111,00:00:03.700,3.700
10,382,00:00:12.700,12.700,433,00:00:14.433,14.433,52,00:00:01.733,1.733
11,434,00:00:14.433,14.433,526,00:00:17.533,17.533,93,00:00:03.100,3.100
12,527,00:00:17.533,17.533,557,00:00:18.567,18.567,31,00:00:01.033,1.033
13,558,00:00:18.567,18.567,576,00:00:19.200,19.200,19,00:00:00.633,0.633
14,577,00:00:19.200,19.200,595,00:00:19.833,19.833,19,00:00:00.633,0.633
15,596,00:00:19.833,19.833,660,00:00:22.000,22.000,65,00:00:02.167,2.167
16,661,00:00:22.000,22.000,837,00:00:27.900,27.900,177,00:00:05.900,5.900
17,838,00:00:27.900,27.900,944,00:00:31.467,31.467,107,00:00:03.567,3.567
18,945,00:00:31.467,31.467,985,00:00:32.833,32.833,41,00:00:01.367,1.367
19,986,00:00:32.833,32.833,1017,00:00:33.900,33.900,32,00:00:01.067,1.067
20,1018,00:00:33.900,33.900,1055,00:00:35.167,35.167,38,00:00:01.267,1.267
21,1056,00:00:35.167,35.167,1106,00:00:36.867,36.867,51,00:00:01.700,1.700
22,1107,00:00:36.867,36.867,1143,00:00:38.100,38.100,37,00:00:01.233,1.233
23,1144,00:00:38.100,38.100,1278,00:00:42.600,42.600,135,00:00:04.500,4.500
24,1279,00:00:42.600,42.600,1326,00:00:44.200,44.200,48,00:00:01.600,1.600
25,1327,00:00:44.200,44.200,1373,00:00:45.767,45.767,47,00:00:01.567,1.567
26,1374,00:00:45.767,45.767,1405,00:00:46.833,46.833,32,00:00:01.067,1.067
27,1406,00:00:46.833,46.833,1445,00:00:48.167,48.167,40,00:00:01.333,1.333
28,1446,00:00:48.167,48.167,1480,00:00:49.333,49.333,35,00:00:01.167,1.167
29,1481,00:00:49.333,49.333,1510,00:00:50.333,50.333,30,00:00:01.000,1.000
30,1511,00:00:50.333,50.333,1579,00:00:52.633,52.633,69,00:00:02.300,2.300
31,1580,00:00:52.633,52.633,1615,00:00:53.833,53.833,36,00:00:01.200,1.200
32,1616,00:00:53.833,53.833,1633,00:00:54.433,54.433,18,00:00:00.600,0.600
33,1634,00:00:54.433,54.433,1701,00:00:56.700,56.700,68,00:00:02.267,2.267
34,1702,00:00:56.700,56.700,1805,00:01:00.167,60.167,104,00:00:03.467,3.467
35,1806,00:01:00.167,60.167,1891,00:01:03.033,63.033,86,00:00:02.867,2.867
36,1892,00:01:03.033,63.033,1951,00:01:05.033,65.033,60,00:00:02.000,2.000
37,1952,00:01:05.033,65.033,1975,00:01:05.833,65.833,24,00:00:00.800,0.800
38,1976,00:01:05.833,65.833,1997,00:01:06.567,66.567,22,00:00:00.733,0.733
39,1998,00:01:06.567,66.567,2047,00:01:08.233,68.233,50,00:00:01.667,1.667
40,2048,00:01:08.233,68.233,2111,00:01:10.367,70.367,64,00:00:02.133,2.133
41,2112,00:01:10.367,70.367,2160,00:01:12.000,72.000,49,00:00:01.633,1.633
42,2161,00:01:12.000,72.000,2198,00:01:13.267,73.267,38,00:00:01.267,1.267
43,2199,00:01:13.267,73.267,2276,00:01:15.867,75.867,78,00:00:02.600,2.600
44,2277,00:01:15.867,75.867,2297,00:01:16.567,76.567,21,00:00:00.700,0.700
45,2298,00:01:16.567,76.567,2328,00:01:17.600,77.600,31,00:00:01.033,1.033
46,2329,00:01:17.600,77.600,2391,00:01:19.700,79.700,63,00:00:02.100,2.100
47,2392,00:01:19.700,79.700,2517,00:01:23.900,83.900,126,00:00:04.200,4.200
48,2518,00:01:23.900,83.900,2552,00:01:25.067,85.067,35,00:00:01.167,1.167
49,2553,00:01:25.067,85.067,2598,00:01:26.600,86.600,46,00:00:01.533,1.533
50,2599,00:01:26.600,86.600,2663,00:01:28.767,88.767,65,00:00:02.167,2.167
51,2664,00:01:28.767,88.767,2727,00:01:30.900,90.900,64,00:00:02.133,2.133
52,2728,00:01:30.900,90.900,2771,00:01:32.367,92.367,44,00:00:01.467,1.467
53,2772,00:01:32.367,92.367,2816,00:01:33.867,93.867,45,00:00:01.500,1.500
54,2817,00:01:33.867,93.867,2834,00:01:34.467,94.467,18,00:00:00.600,0.600
55,2835,00:01:34.467,94.467,2858,00:01:35.267,95.267,24,00:00:00.800,0.800
56,2859,00:01:35.267,95.267,2925,00:01:37.500,97.500,67,00:00:02.233,2.233
